model,train_rmse,val_rmse,train_mae,val_mae,train_r2,val_r2,val_rmsle,train_time
XGBoost,0.27327965315332375,0.3052733275492703,0.20230095639480444,0.21993486805236387,0.8582939819259932,0.8234450272838425,0.3052733275492703,88.9104471206665
LightGBM,0.3190344648969573,0.32162437920926507,0.2341087364987495,0.23525080351669667,0.8068703725483601,0.8040252339122875,0.32162437920926507,44.54924535751343
Random Forest,0.3038870824147239,0.32988172516205266,0.22297145348577435,0.24204075210801804,0.824774148913065,0.7938331919647966,0.32988172516205266,2023.9485783576965
Gradient Boosting,0.24897083419474178,0.3308574717008433,0.19057706594146842,0.24178638732122346,0.8827338091353354,0.7926117598816089,0.3308574717008433,112.12316083908081
Ridge Regression,0.4927872214034625,0.4931598717467639,0.3796358965014816,0.37991972117241835,0.5392211102756636,0.539236896566121,0.4931598717467639,0.8534421920776367
